1758;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1758;6 (Charles de Gaulle - Etoile/Nation);metro
1758;9 (Mairie de Montreuil/Pont de Sèvres);metro
1761;6 (Charles de Gaulle - Etoile/Nation);metro
1767;12 (Front Populaire/Mairie d'Issy);metro
1768;12 (Front Populaire/Mairie d'Issy);metro
1769;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1769;9 (Mairie de Montreuil/Pont de Sèvres);metro
1770;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1770;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1771;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1771;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1771;8 (Pointe du Lac/Balard);metro
1773;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1774;1 (La Défense/Château de Vincennes);metro
1774;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1779;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1780;6 (Charles de Gaulle - Etoile/Nation);metro
1781;12 (Front Populaire/Mairie d'Issy);metro
1781;6 (Charles de Gaulle - Etoile/Nation);metro
1782;3B (Gambetta/Porte des Lilas);metro
1783;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1784;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1785;6 (Charles de Gaulle - Etoile/Nation);metro
1786;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1787;12 (Front Populaire/Mairie d'Issy);metro
1787;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1788;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1789;5 (Place d'Italie/Bobigny - Pablo Picasso);metro
1789;6 (Charles de Gaulle - Etoile/Nation);metro
1789;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1790;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1790;2 (Porte Dauphine (Maréchal de Lattre de Ta/Nation);metro
1792;11 (Châtelet/Mairie des Lilas);metro
1792;7B (Louis Blanc/Pré-Saint-Gervais);metro
1793;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1795;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1798;8 (Pointe du Lac/Balard);metro
1800;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1801;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1802;1 (La Défense/Château de Vincennes);metro
1803;8 (Pointe du Lac/Balard);metro
1804;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1806;7B (Louis Blanc/Pré-Saint-Gervais);metro
1806;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1807;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1808;8 (Pointe du Lac/Balard);metro
1809;1 (La Défense/Château de Vincennes);metro
1812;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1813;12 (Front Populaire/Mairie d'Issy);metro
1813;14 (Olympiades/Saint-Lazare);metro
1813;8 (Pointe du Lac/Balard);metro
1814;12 (Front Populaire/Mairie d'Issy);metro
1815;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1816;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1817;9 (Mairie de Montreuil/Pont de Sèvres);metro
1818;13 (Saint-Denis - Universite / Les Courtilles (Asnieres - Gennevilliers)/Châtillon - Montrouge);metro
1819;11 (Châtelet/Mairie des Lilas);metro
1820;7 (Villejuif - Louis Aragon / Mairie d'Ivry/La Courneuve - 8 mai 1945);metro
1826;3 (Pont de Levallois - Bécon/Gallieni (Parc de Bagnolet));metro
1828;12 (Front Populaire/Mairie d'Issy);metro
1828;4 (Mairie de Montrouge/Porte de Clignancourt);metro
1829;9 (Mairie de Montreuil/Pont de Sèvres);metro
1831;12 (Front Populaire/Mairie d'Issy);metro
1834;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1835;8 (Pointe du Lac/Balard);metro
1836;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
1836;9 (Mairie de Montreuil/Pont de Sèvres);metro
1837;10 (Gare d'Austerlitz/Boulogne - Pont de Saint Cloud);metro
