225436;2.28582751788663;48.9229162320519;Les Agnettes;ASNIERES-SUR-SEINE;metro
1800;2.35164217355525;48.8366105352574;Les Gobelins;PARIS-13EME;metro
1801;2.34583626729201;48.862194721152;Les Halles;PARIS-01ER;metro
1802;2.27253908542214;48.880901799077;Les Sablons (Jardin d'acclimatation);NEUILLY-SUR-SEINE;metro
1803;2.40692557755493;48.8258380800419;Liberté;CHARENTON-LE-PONT;metro
1804;2.32651728518985;48.8795640572124;Liège;PARIS-08EME;metro
1806;2.3655569576092;48.8810261029957;Louis Blanc;PARIS-10EME;metro
1807;2.28813731087893;48.8888292427619;Louise Michel;LEVALLOIS-PERRET;metro
1808;2.28175852328733;48.8384881095778;Lourmel;PARIS-15EME;metro
1809;2.34100049025543;48.8605382946574;Louvre-Rivoli;PARIS-01ER;metro
1812;2.33540928887416;48.8528181349058;Mabillon;PARIS-06EME;metro
1813;2.32516370025939;48.8700643517776;Madeleine;PARIS-08EME;metro
1816;2.30556600125528;48.9036594416322;Mairie de Clichy;CLICHY;metro
1817;2.44165620310216;48.8623601850863;Mairie de Montreuil;MONTREUIL;metro
466736;2.31953674036336;48.8180648291392;Mairie de Montrouge;MONTROUGE;metro
1818;2.334163015407;48.9120620157054;Mairie de Saint-Ouen;SAINT-OUEN;metro
1819;2.41623893515656;48.8797989953663;Mairie des Lilas;LES LILAS;metro
1814;2.27350399984748;48.8248138108686;Mairie d'Issy;ISSY-LES-MOULINEAUX;metro
1815;2.3838082733405;48.8111784269088;Mairie d'Ivry;IVRY-SUR-SEINE;metro
1820;2.35818867672494;48.8226203194274;Maison Blanche;PARIS-13EME;metro
21583;2.44499102669377;48.8031418697523;Maisons-Alfort-Les Juilliottes;MAISONS-ALFORT;metro
21582;2.43558220356454;48.8084176209203;Maisons-Alfort-Stade;MAISONS-ALFORT;metro
22442;2.29701508516275;48.8231314024501;Malakoff-Plateau de Vanves;CHATILLON;metro
22441;2.29699896350216;48.8146679725106;Malakoff-Rue Etienne Dolet;CHATILLON;metro
1826;2.30969409432085;48.8828147397743;Malesherbes;PARIS-17EME;metro
55372;2.40623072117296;48.8526633633247;Maraichers;PARIS-20EME;metro
1828;2.34983707163005;48.8908769929214;Marcadet-Poissonniers;PARIS-18EME;metro
1829;2.24408138825371;48.8339143013551;Marcel Sembat;BOULOGNE-BILLANCOURT;metro
1831;2.36020584275635;48.8903020649568;Marx-Dormoy;PARIS-18EME;metro
1834;2.34850342965795;48.8499086726722;Maubert-Mutualité;PARIS-05EME;metro
1754;2.38339427851543;48.8659488111593;Ménilmontant;PARIS-11EME;metro
1836;2.2642974417474;48.8477403459598;Michel-Ange-Auteuil;PARIS-16EME;metro
1837;2.26204786419272;48.844867436543;Michel-Ange-Molitor;PARIS-16EME;metro
1835;2.40296916119538;48.8367033669766;Michel Bizot;PARIS-12EME;metro
1746;2.27340595925819;48.8473396417237;Mirabeau;PARIS-16EME;metro
1747;2.31519918493339;48.8737063841262;Miromesnil;PARIS-08EME;metro
1749;2.30896624223491;48.8806306676395;Monceau;PARIS-08EME;metro
1750;2.38980213751236;48.8442504626131;Montgallet;PARIS-12EME;metro
1751;2.32263505064878;48.8430428502558;Montparnasse-Bienvenue;PARIS-14EME;metro
1753;2.32942693483694;48.8313196995984;Mouton-Duvernet;PARIS-14EME;metro
1758;2.39590574456544;48.8484657505532;Nation;PARIS-12EME;metro
1761;2.36204546183122;48.8327104551183;Nationale;PARIS-13EME;metro
1767;2.33845371043763;48.8766256956919;Notre-Dame de Lorette;PARIS-09EME;metro
1768;2.32885296806704;48.8449178498434;Notre-Dame des Champs;PARIS-06EME;metro
1769;2.36867423637139;48.8645156235565;Oberkampf;PARIS-11EME;metro
1770;2.33855755868422;48.8522489363668;Odéon;PARIS-06EME;metro
171507;2.36729701204889;48.8268582996999;Olympiades;PARIS-13EME;metro
1771;2.33180515640395;48.8707029411588;Opéra;PARIS-09EME;metro
11038;2.35872141880901;48.728513469933;Orly-Ouest;ORLY;metro
11039;2.36795987285204;48.727837315206;Orly-Sud;ORLY;metro
1773;2.38602958795485;48.8869750227319;Ourcq;PARIS-19EME;metro
1774;2.33581661194832;48.8628468213553;Palais-Royal (Musée du Louvre);PARIS-01ER;metro
1779;2.37584679468414;48.8651606067898;Parmentier;PARIS-11EME;metro
1780;2.28586501138629;48.8576333212361;Passy;PARIS-16EME;metro
1781;2.31265644504969;48.8429383503106;Pasteur;PARIS-15EME;metro
1782;2.40135199013901;48.868519874537;Pelleport;PARIS-20EME;metro
1740;2.29751704870328;48.8845503317922;Péreire;PARIS-17EME;metro
1741;2.38672181193918;48.8626131584417;Père-Lachaise;PARIS-11EME;metro
1783;2.31766395823272;48.8338169001883;Pernéty;PARIS-14EME;metro
1784;2.38938739145325;48.8583654720925;Philippe Auguste;PARIS-11EME;metro
1785;2.40125516453104;48.8452604478542;Picpus;PARIS-12EME;metro
1786;2.3772866229916;48.8156836605119;Pierre et Marie Curie;IVRY-SUR-SEINE;metro
1787;2.3376226051814;48.8824943850352;Pigalle;PARIS-18EME;metro
1790;2.32730682210246;48.8836233671973;Place de Clichy;PARIS-09EME;metro
1792;2.39347313514395;48.8768191471423;Place des Fêtes;PARIS-19EME;metro
1789;2.35572137338498;48.8314061535553;Place d'Italie;PARIS-13EME;metro
1788;2.35217845099659;48.8431960998294;Place Monge (Jardin des Plantes);PARIS-05EME;metro
1705;2.31406734480211;48.8317625860832;Plaisance;PARIS-14EME;metro
397629;2.46598982922341;48.7679578710506;Pointe du Lac;CRETEIL;metro
1706;2.34960623902438;48.8773395505122;Poissonnière;PARIS-10EME;metro
1708;2.28048941733931;48.8971187551468;Pont de Levallois-Bécon;LEVALLOIS-PERRET;metro
1709;2.25989172465632;48.8845093796136;Pont de Neuilly;NEUILLY-SUR-SEINE;metro
1710;2.23025364790437;48.8295929841028;Pont de Sèvres;BOULOGNE-BILLANCOURT;metro
1711;2.35745881597611;48.8533107454827;Pont Marie (Cité des Arts);PARIS-04EME;metro
1712;2.34194923634659;48.8584022524727;Pont Neuf;PARIS-01ER;metro
1714;2.2766480745793;48.8716448024995;Porte Dauphine (Maréchal de Lattre de Tassigny);PARIS-16EME;metro
1717;2.25864782764785;48.8480737822692;Porte d'Auteuil;PARIS-16EME;metro
1721;2.40799995272687;48.8643963044636;Porte de Bagnolet;PARIS-20EME;metro
1722;2.29274204135011;48.8855507197363;Porte de Champerret;PARIS-17EME;metro
1723;2.39970109937032;48.8325258939597;Porte de Charenton;PARIS-12EME;metro
1724;2.36434644526859;48.8201452157747;Porte de Choisy;PARIS-13EME;metro
1725;2.31373834378485;48.8943611610735;Porte de Clichy;PARIS-17EME;metro
1726;2.34477887737988;48.8972870603971;Porte de Clignancourt;PARIS-18EME;metro
1734;2.35909154194382;48.8980716716703;Porte de la Chapelle;PARIS-18EME;metro
1735;2.38580611263705;48.8978102190581;Porte de la Villette;PARIS-19EME;metro
1727;2.41043444867178;48.8534495044418;Porte de Montreuil;PARIS-20EME;metro
1728;2.39146861403051;48.8883327364608;Porte de Pantin;PARIS-19EME;metro
1729;2.25680251499702;48.8378883866228;Porte de Saint-Cloud;PARIS-16EME;metro
